,time,open,high,low,close,volume
35974,5/6/20 14:20,238.73,238.9999,238.71,238.99,6071
35973,5/6/20 14:25,239.02,239.185,238.86,239.11,6454
35972,5/6/20 14:30,239.07,239.24,238.46,238.59,9848
35971,5/6/20 14:35,238.63,239.424,238.37,239.424,15496
35970,5/6/20 14:40,239.36,239.47,238.96,239.2015,8620
35969,5/6/20 14:45,238.97,239.24,238.73,239.2,5701
35968,5/6/20 14:50,239.09,239.25,238.9,239.1216,7350
35967,5/6/20 14:55,239.28,239.31,239.01,239.27,11670
35966,5/6/20 15:00,239.24,239.29,238.28,238.39,16050
35965,5/6/20 15:05,238.5,239.15,238.41,238.93,16352
35964,5/6/20 15:10,239,239.41,238.8,239.265,13894
35963,5/6/20 15:15,239.2454,239.38,239.09,239.0933,11703
35962,5/6/20 15:20,239.18,239.29,238.93,239.23,16375
35961,5/6/20 15:25,239.165,239.58,239.165,239.23,10301
35960,5/6/20 15:30,239.37,239.37,239,239.1786,32625
35959,5/6/20 15:35,239.17,239.17,238.28,238.28,28738
35958,5/6/20 15:40,238.27,238.66,238.1,238.46,29274
35957,5/6/20 15:45,238.602,238.74,238.11,238.44,32407
35956,5/6/20 15:50,238.51,238.6,237.7,237.7,20516
35955,5/6/20 15:55,237.68,238.35,237.33,238.25,44422
35954,5/6/20 16:00,238.25,238.25,237.18,237.3,110752
35953,5/6/20 16:05,237.26,237.26,237.26,237.26,125759
35952,5/6/20 16:10,237.26,237.26,237.26,237.26,100
35951,5/7/20 9:35,239.18,239.67,237.6,238.115,61885
35950,5/7/20 9:40,238.1,238.1,236.66,237.25,26108
35949,5/7/20 9:45,237.37,237.55,236.74,236.865,19245
35948,5/7/20 9:50,236.865,236.865,236.07,236.08,19193
35947,5/7/20 9:55,236.02,236.81,235.81,236.7357,22374
35946,5/7/20 10:00,236.83,237.06,236.38,236.95,18516
35945,5/7/20 10:05,237.025,237.6,237,237.03,21245
35944,5/7/20 10:10,237.135,237.8,237,237.555,12948
35943,5/7/20 10:15,237.49,237.5,236.9382,237.2333,18505
35942,5/7/20 10:20,237.35,237.37,236.99,237.12,22667
35941,5/7/20 10:25,237.02,237.11,236.88,236.99,18974
35940,5/7/20 10:30,237.08,237.27,236.92,237.16,14451
35939,5/7/20 10:35,237.07,237.2633,236.81,236.95,6308
35938,5/7/20 10:40,237.05,237.136,236.815,237.136,15892
35937,5/7/20 10:45,237.19,237.6,237.15,237.2,26784
35936,5/7/20 10:50,237.02,237.33,236.97,236.995,36434
35935,5/7/20 10:55,236.995,237.1696,236.84,237.04,13003
35934,5/7/20 11:00,237.14,237.15,236.58,236.7,21361
35933,5/7/20 11:05,236.67,236.67,236.45,236.5,21564
35932,5/7/20 11:10,236.5,237.21,236.5,236.76,15244
35931,5/7/20 11:15,236.72,236.93,236.53,236.64,8040
35930,5/7/20 11:20,236.78,236.925,236.69,236.825,21768
35929,5/7/20 11:25,236.8005,237.16,236.73,237.01,16020
35928,5/7/20 11:30,237.02,237.48,236.96,237.31,18925
35927,5/7/20 11:35,237.235,237.24,236.96,236.99,13112
35926,5/7/20 11:40,237.06,237.1913,236.71,236.8125,33679
35925,5/7/20 11:45,236.84,237.08,236.84,236.89,22168
